protein	KO	enrichM_annotation
WP_076507683.1	K01897	"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
WP_076601165.1	K03686	dnaJ; molecular chaperone DnaJ
WP_076603655.1	K03415	"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
WP_076838136.1	K02111	"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
custom_1256517_56	K01881	"PARS, proS; prolyl-tRNA synthetase [EC:6.1.1.15]"
custom_446457_7	K04561	norB; nitric oxide reductase subunit B [EC:1.7.2.5]
custom_562415_43	K04063	"osmC, ohr; lipoyl-dependent peroxidase"
AQT42897.1	K02358	"tuf, TUFM; elongation factor Tu"
AQT67075.1	K04043	"dnaK, HSPA9; molecular chaperone DnaK"
WP_078121737.1	K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
WP_078921760.1	K03744	lemA; LemA protein
custom_2158482_4	K02867	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
custom_1618120_1	K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
WP_079432821.1	K03643	"lptE, rlpB; LPS-assembly lipoprotein"
custom_187991_2	K01693	hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]
WP_079432850.1	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
custom_1606414_2	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
WP_079433130.1	K01674	cah; carbonic anhydrase [EC:4.2.1.1]
custom_892667_1	K03704	cspA; cold shock protein
custom_189401_11	K02670	pilU; twitching motility protein PilU
custom_1168793_2	K01867	"WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]"
WP_079433566.1	K07053	"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"
custom_895653_17	K01883	"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"
custom_209391_1	K03671	trxA; thioredoxin 1
custom_1556551_1	K12573	"rnr, vacB; ribonuclease R [EC:3.1.13.1]"
custom_2194250_6	K00831	"serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]"
custom_1340947_7	K04764	"ihfA, himA; integration host factor subunit alpha"
WP_079434342.1	K03776	aer; aerotaxis receptor
custom_334935_7	K05366	mrcA; penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]
custom_797905_4	K01139	"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
custom_2234365_5	K13599	"ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
WP_079434547.1	K00459	"ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]"
custom_2617533_2	K02114	"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"
custom_2332366_4	K10914	"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
custom_319022_6	K03701	uvrA; excinuclease ABC subunit A
custom_271471_11	K07659	"ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR"
custom_1697779_1	K06966	ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
custom_2238097_3	K06204	dksA; DnaK suppressor protein
custom_2339271_5	K03640	pal; peptidoglycan-associated lipoprotein
WP_079435545.1	K04090	E1.2.7.8; indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
custom_1253064_8	K03596	lepA; GTP-binding protein LepA
WP_079436344.1	K00436	hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]
custom_859347_9	K18778	zapD; cell division protein ZapD
custom_1926725_3	K03531	ftsZ; cell division protein FtsZ
custom_2622248_7	K02621	parC; topoisomerase IV subunit A [EC:5.6.2.2]
custom_1971356_2	K00767	"nadC, QPRT; nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]"
WP_079436965.1	K01870	"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
WP_079543860.1	K02935	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
custom_2671537_217	K14407	"CSTF2, RNA15; cleavage stimulation factor subunit 2"
OPY01703.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_2607636_70	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
WP_081700164.1	K03797	"E3.4.21.102, prc, ctpA; carboxyl-terminal processing protease [EC:3.4.21.102]"
custom_1017370_11	K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
custom_1378054_4	K00031	"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
custom_182152_7	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
OQW94285.1	K15987	hppA; K(+)-stimulated pyrophosphate-energized sodium pump
custom_1642289_31	K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
OQY67604.1	K03737	"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
WP_083293141.1	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
custom_834292_2	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
custom_1585247_51	K16088	"TC.FEV.OM1, fhuE, fpvA, fptA; outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid"
WP_083902980.1	K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
WP_084269874.1	K01647	"CS, gltA; citrate synthase [EC:2.3.3.1]"
WP_085412445.1	K03782	katG; catalase-peroxidase [EC:1.11.1.21]
custom_315328_93	K02935	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
WP_086104530.1	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
WP_086619775.1	K01251	"E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]"
WP_087349485.1	K02358	"tuf, TUFM; elongation factor Tu"
OUT74807.1	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
OUU58117.1	K11645	"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
OUV02704.1	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
WP_088179373.1	K13590	dgcB; diguanylate cyclase [EC:2.7.7.65]
WP_088179405.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_088179509.1	K18005	hoxF; [NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2]
WP_088263495.1	K00789	metK; S-adenosylmethionine synthetase [EC:2.5.1.6]
WP_088280370.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
WP_088283393.1	K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
custom_1952401_30	K03744	lemA; LemA protein
custom_1758877_123	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
custom_1132579_32	K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
custom_1773861_23	K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
WP_088813028.1	K01624	"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
WP_089417685.1	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
custom_322168_19	K00239	"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
WP_090070101.1	K00406	ccoP; cytochrome c oxidase cbb3-type subunit III
custom_1804718_5	K06907	K06907; uncharacterized protein
WP_091936878.1	K07277	"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
WP_091936974.1	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]
WP_092051701.1	K10713	"fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]"
WP_092138750.1	K03520	"coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]"
custom_893348_3	K17829	ccrA; crotonyl-CoA reductase [EC:1.3.1.86]
WP_093166360.1	K06907	K06907; uncharacterized protein
custom_619196_3	K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
custom_1437481_2	K09946	K09946; uncharacterized protein
WP_094285823.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
custom_1840663_38	K01428	ureC; urease subunit alpha [EC:3.5.1.5]
custom_2612029_1	K02406	fliC; flagellin
custom_488435_1	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
custom_967558_2	K02948	"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
OYV00456.1	K11903	hcp; type VI secretion system secreted protein Hcp
custom_837585_27	K01995	livG; branched-chain amino acid transport system ATP-binding protein
OYY44609.1	K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
OYY93517.1	K00052	"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
WP_094822040.1	K02010	"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
WP_095524506.1	K00928	lysC; aspartate kinase [EC:2.7.2.4]
WP_095847288.1	K01682	acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]
WP_096433913.1	K01996	livF; branched-chain amino acid transport system ATP-binding protein
PCI53422.1	K00281	"GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]"
custom_1207727_12	K02058	ABC.SS.S; simple sugar transport system substrate-binding protein
WP_097278717.1	K01999	livK; branched-chain amino acid transport system substrate-binding protein
WP_097662599.1	K09969	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
PHR18490.1	K02112	"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
WP_099405175.1	K02406	fliC; flagellin
WP_099509754.1	K02945	"RP-S1, rpsA; small subunit ribosomal protein S1"
PIM95953.1	K03283	HSPA1s; heat shock 70kDa protein 1/2/6/8
PIU42396.1	K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
PIY23954.1	K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
WP_100172566.1	K01126	"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
PJI37961.1	K02355	"fusA, GFM, EFG; elongation factor G"
PKL76191.1	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
PKN73642.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_1039654_7	K02961	"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
PKO32639.1	K01692	"paaF, echA; enoyl-CoA hydratase [EC:4.2.1.17]"
PKO34445.1	K14393	actP; cation/acetate symporter
PKO34603.1	K01955	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
custom_1228248_4	K00826	"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
custom_1569026_2	K21071	"pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
custom_1884728_15	K07239	"TC.HME; heavy-metal exporter, HME family"
custom_2072196_4	K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
custom_381164_6	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
custom_2091542_33	K02199	"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
custom_1294633_3	K02109	"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
custom_1950168_1	K02899	"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
custom_1534863_6	K02916	"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
PKO58081.1	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_77485_2	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
PKO62809.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
custom_441880_20	K03569	mreB; rod shape-determining protein MreB and related proteins
custom_969463_7	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]
custom_1225916_2	K02904	"RP-L29, rpmC; large subunit ribosomal protein L29"
PKO72549.1	K04078	"groES, HSPE1; chaperonin GroES"
custom_1424547_3	K01814	hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
PKO83537.1	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
PKO84695.1	K12340	tolC; outer membrane protein
custom_434991_7	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
custom_855185_2	K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
PKO90843.1	K07516	fadN; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
custom_2648699_2	K03772	fkpA; FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [EC:5.2.1.8]
custom_1743067_10	K00605	"gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]"
PKO94188.1	K07287	bamC; outer membrane protein assembly factor BamC
custom_1663167_23	K03744	lemA; LemA protein
PLX80068.1	K01955	"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"
WP_101941142.1	K00241	"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
WP_102040908.1	K06596&K02487	NA
WP_102041780.1	K02357	"tsf, TSFM; elongation factor Ts"
WP_102245624.1	K03530	hupB; DNA-binding protein HU-beta
WP_102247199.1	K00242	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
WP_102295188.1	K01791	wecB; UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
WP_102302000.1	K11065	"tpx; thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]"
custom_392613_124	K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
custom_963112_15	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
POR47252.1	K01129	dgt; dGTPase [EC:3.1.5.1]
custom_1169008_26	K01915	"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
WP_104972108.1	K03386	"PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
custom_1718650_10	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
WP_106572617.1	K07335	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
PSR14241.1	K04077	"groEL, HSPD1; chaperonin GroEL"
WP_106684827.1	K07795	tctC; putative tricarboxylic transport membrane protein
custom_2063193_10	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_967558_11	K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
custom_2525317_111	K03704	cspA; cold shock protein
custom_1205286_40	K02356	efp; elongation factor P
custom_2256500_11	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
custom_754248_46	K04748	norQ; nitric oxide reductase NorQ protein
PTM19938.1	K02358	"tuf, TUFM; elongation factor Tu"
custom_328038_10	K03704	cspA; cold shock protein
custom_1875111_1	K01696	trpB; tryptophan synthase beta chain [EC:4.2.1.20]
custom_793137_2	K01429	ureB; urease subunit beta [EC:3.5.1.5]
PTS87602.1	K00658	"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
WP_107729813.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
WP_108074827.1	K06907	K06907; uncharacterized protein
WP_108106829.1	K15864	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
custom_1755680_93	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
custom_145868_62	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
custom_1208461_39	K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
custom_1438798_21	K00114	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
custom_909983_3	K02906	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
WP_108893374.1	K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
PWB83870.1	K00325	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
WP_109580368.1	K03802	cphA; cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]
WP_110390903.1	K21053	ade; adenine deaminase [EC:3.5.4.2]
PYS37484.1	K03744	lemA; LemA protein
custom_327849_6	K01681	"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
custom_1607696_2	K01496	hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
WP_110524327.1	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
custom_1890537_3	K03594	bfr; bacterioferritin [EC:1.16.3.1]
PZN15060.1	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
PZN51362.1	K03561	exbB; biopolymer transport protein ExbB
PZN73492.1	K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
PZO02700.1	K03518	coxS; aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
custom_2476536_11	K02884	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
custom_908364_4	K01358	"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
custom_1611079_28	K01902	sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]
custom_2558168_36	K02663	pilN; type IV pilus assembly protein PilN
PZQ74733.1	K01534	zntA; Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]
custom_1791789_6	K13444	"SUMF1, FGE; formylglycine-generating enzyme [EC:1.8.3.7]"
custom_1721474_7	K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
WP_111265586.1	K02805	"wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]"
custom_2228086_2	K01028	"E2.8.3.5A, scoA; 3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]"
WP_111537168.1	K00074	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
WP_112381317.1	K04077	"groEL, HSPD1; chaperonin GroEL"
custom_396187_238	K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
WP_113431728.1	K01130	"E3.1.6.1, aslA; arylsulfatase [EC:3.1.6.1]"
WP_113638305.1	K03286	"TC.OOP; OmpA-OmpF porin, OOP family"
WP_114278342.1	K04564	"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]"
WP_114402353.1	K06915	K06915; uncharacterized protein
WP_114598930.1	K04079	"HSP90A, htpG; molecular chaperone HtpG"
WP_114599321.1	K00933	E2.7.3.2; creatine kinase [EC:2.7.3.2]
custom_692264_1	K02358	"tuf, TUFM; elongation factor Tu"
WP_115457775.1	K11900	impC; type VI secretion system protein ImpC
custom_2401787_3	K03628	rho; transcription termination factor Rho
WP_115837019.1	K00134	"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
WP_115842919.1	K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
WP_115859473.1	K01873	"VARS, valS; valyl-tRNA synthetase [EC:6.1.1.9]"
custom_774111_1	K07375	TUBB; tubulin beta
RFC34779.1	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
RFC34810.1	K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
custom_2271332_8	K03641	tolB; TolB protein
custom_1824069_1	K15725	"czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system"
WP_116622085.1	K07335	"bmpA, bmpB, tmpC; basic membrane protein A and related proteins"
WP_116720814.1	K09969	"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
custom_1757149_31	K00948	"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
WP_117291661.1	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
WP_117608318.1	K15727	"czcB, cusB, cnrB; membrane fusion protein, heavy metal efflux system"
custom_1399659_9	K00963	"UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]"
custom_1211694_6	K03769	ppiC; peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]
custom_740615_8	K01507	ppa; inorganic pyrophosphatase [EC:3.6.1.1]
WP_117609631.1	K03981	dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
WP_119046367.1	K02012	"afuA, fbpA; iron(III) transport system substrate-binding protein"
RIK76609.1	K01903	sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]
RIK92940.1	K03701	uvrA; excinuclease ABC subunit A
custom_882152_5	K12543	"lapE; outer membrane protein, adhesin transport system"
WP_119334474.1	K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
WP_119336123.1	K02836	prfB; peptide chain release factor 2
custom_194354_2	K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
RIX44689.1	K05813	ugpB; sn-glycerol 3-phosphate transport system substrate-binding protein
custom_568512_8	K07213	"ATOX1, ATX1, copZ, golB; copper chaperone"
custom_2613793_4	K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
custom_1926085_1	K14652	"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
custom_1163023_34	K05805	creA; CreA protein
WP_119717977.1	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
WP_119718228.1	K01007	"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
custom_809794_26	K00940	"ndk, NME; nucleoside-diphosphate kinase [EC:2.7.4.6]"
WP_119783708.1	K04759	feoB; ferrous iron transport protein B
WP_119786229.1	K02115	"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"
custom_1116121_9	K01283	"ACE, CD143; peptidyl-dipeptidase A [EC:3.4.15.1]"
custom_454475_36	K02935	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
WP_120787198.1	K05692	ACTB_G1; actin beta/gamma 1
RKZ36367.1	K00700	"GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"
RKZ48303.1	K10713	"fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]"
RLJ63569.1	K03821	"phbC, phaC; polyhydroxyalkanoate synthase subunit PhaC [EC:2.3.1.-]"
WP_121243214.1	K14393	actP; cation/acetate symporter
WP_121276134.1	K03768	"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
WP_121352471.1	K01895	"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
custom_1476413_5	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
