protein	IPR	GO	Pfam	Interproscan_annotation	
custom_383472_3	IPR006254	GO:0004451|GO:0019752	PF00463	Isocitrate lyase	KEGG: 00630+4.1.3.1|MetaCyc: PWY-6969
custom_594515_10	IPR001865	GO:0003735|GO:0005840|GO:0006412	PF00318	Ribosomal protein S2	
custom_1367574_2	IPR006032	GO:0003735|GO:0005840|GO:0006412	PF00164	Ribosomal protein S12/S23	
custom_382883_5	IPR019752	GO:0016903|GO:0055114	PF01558	"Pyruvate/ketoisovalerate oxidoreductase, catalytic domain"	
custom_382883_5	IPR019456	GO:0016903|GO:0055114	PF10371	"Pyruvate-flavodoxin oxidoreductase, EKR domain"	
custom_382883_5	IPR011766	GO:0003824|GO:0030976	PF02775	"Thiamine pyrophosphate enzyme, C-terminal TPP-binding"	
custom_382883_5	IPR033412	-	PF17147	"Pyruvate:ferredoxin oxidoreductase, core domain II"	
custom_382883_5	-	-	PF13484	-	
custom_382883_5	IPR002880	GO:0016491|GO:0055114	PF01855	"Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal"	
custom_289222_1	IPR002347	-	PF00106	Short-chain dehydrogenase/reductase SDR	
RPJ80762.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_90585_120	IPR022761	-	PF00206	"Fumarate lyase, N-terminal"	
custom_90585_120	IPR029419	-	PF14698	"Argininosuccinate lyase, C-terminal"	KEGG: 00220+4.3.2.1|KEGG: 00250+4.3.2.1|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635
WP_082680159.1	IPR001570	GO:0004222	PF02868	"Peptidase M4, C-terminal"	
WP_082680159.1	IPR011096	-	PF07504	FTP domain	
WP_082680159.1	IPR013856	GO:0004222	PF01447	Peptidase M4 domain	
WP_082680159.1	IPR003137	-	PF02225	PA domain	
WP_026768891.1	IPR012944	-	PF07980	RagB/SusD domain	
RZI44785.1	IPR013153	-	PF08298	PrkA AAA domain	
RZI44785.1	IPR010650	-	PF06798	PrkA C-terminal domain	
PIV22109.1	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
WP_099277652.1	IPR009009	-	PF03330	"RlpA-like protein, double-psi beta-barrel domain"	
WP_111365197.1	IPR028081	-	PF13458	Leucine-binding protein domain	
WP_079689914.1	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
WP_079689914.1	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
WP_079689914.1	-	-	PF13715	-	
custom_2648699_2	IPR001179	GO:0003755	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase domain	
BAO02580.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
GAJ32714.1	IPR001638	-	PF00497	Solute-binding protein  family 3/N-terminal domain of MltF	
WP_009549281.1	IPR000297	GO:0003755	PF13145	"Peptidyl-prolyl cis-trans isomerase, PpiC-type"	
WP_009549281.1	-	-	PF13624	-	
custom_396187_245	IPR013810	GO:0003723|GO:0003735|GO:0005840|GO:0006412	PF00333	"Ribosomal protein S5, N-terminal"	
custom_396187_245	IPR005324	GO:0003735|GO:0005840|GO:0006412	PF03719	"Ribosomal protein S5, C-terminal"	
custom_398567_3	IPR017896	-	PF00037	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
custom_398567_3	IPR017896	-	PF13247	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
custom_2332723_10	IPR003008	GO:0003924	PF00091	"Tubulin/FtsZ, GTPase domain"	Reactome: R-HSA-380320
custom_2332723_10	IPR024757	-	PF12327	"Cell division protein FtsZ, C-terminal"	
custom_1294633_3	IPR002146	GO:0015078|GO:0015986|GO:0045263	PF00430	"ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast"	
custom_312019_3	IPR002020	GO:0046912	PF00285	Citrate synthase	
PYQ36883.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
PYQ36883.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
PYQ36883.1	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
WP_127520451.1	IPR006059	-	PF01547	Bacterial extracellular solute-binding protein	
custom_1336056_2	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
custom_1336056_2	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_1372572_20	IPR010723	-	PF06969	"HemN, C-terminal"	
custom_1372572_20	IPR007197	GO:0003824|GO:0051536	PF04055	Radical SAM	
custom_1517118_4	IPR018445	-	PF01865	Putative phosphate transport regulator	
OHB25114.1	IPR022488	-	PF03976	Polyphosphate kinase-2-related	
custom_1894827_2	IPR006847	-	PF04760	"Translation initiation factor IF-2, N-terminal"	
custom_1894827_2	IPR006847	-	PF04760	"Translation initiation factor IF-2, N-terminal"	
custom_1894827_2	IPR023115	-	PF11987	"Translation initiation factor IF- 2, domain 3"	
custom_1894827_2	IPR013575	-	PF08364	"Initiation factor 2 associated domain, bacterial"	
custom_1894827_2	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
custom_2206320_2	IPR014826	GO:0016051|GO:0016840	PF08714	Formaldehyde-activating enzyme	KEGG: 00030+4.1.2.43|KEGG: 00680+4.2.1.147+4.1.2.43|MetaCyc: PWY-1723|MetaCyc: PWY-1861|MetaCyc: PWY-7796
WP_079434731.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
WP_079434731.1	IPR003423	GO:0015562|GO:0055085	PF02321	Outer membrane efflux protein	
WP_082307888.1	IPR040476	-	PF17876	"RNase II/RNase R, cold shock domain"	
WP_082307888.1	IPR013223	-	PF08206	"Ribonuclease B, N-terminal OB domain"	
WP_082307888.1	IPR001900	GO:0003723|GO:0004540	PF00773	Ribonuclease II/R	
WP_082307888.1	IPR003029	GO:0003676	PF00575	S1 domain	
custom_1773861_23	IPR002677	GO:0003735|GO:0006412|GO:0015934	PF01783	Ribosomal protein L32p	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
OGS71871.1	IPR000506	GO:0004455|GO:0009082|GO:0055114	PF01450	"Ketol-acid reductoisomerase, C-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
OGS71871.1	IPR013116	-	PF07991	"Ketol-acid reductoisomerase, N-terminal"	KEGG: 00290+1.1.1.86|KEGG: 00770+1.1.1.86|MetaCyc: PWY-5103|MetaCyc: PWY-7111
custom_1074337_8	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1074337_8	IPR000793	GO:0015986	PF00306	"ATP synthase, alpha subunit, C-terminal"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-8949613
custom_1074337_8	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
WP_101944396.1	IPR012000	GO:0000287|GO:0030976	PF00205	"Thiamine pyrophosphate enzyme, central domain"	
WP_101944396.1	IPR011766	GO:0003824|GO:0030976	PF02775	"Thiamine pyrophosphate enzyme, C-terminal TPP-binding"	
WP_101944396.1	IPR012001	GO:0030976	PF02776	"Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain"	
custom_1707170_29	IPR039429	-	PF00464	Serine hydroxymethyltransferase-like domain	KEGG: 00260+2.1.2.1|KEGG: 00460+2.1.2.1|KEGG: 00630+2.1.2.1|KEGG: 00670+2.1.2.1|KEGG: 00680+2.1.2.1|MetaCyc: PWY-1622|MetaCyc: PWY-181|MetaCyc: PWY-2161|MetaCyc: PWY-2201|MetaCyc: PWY-3661|MetaCyc: PWY-3661-1|MetaCyc: PWY-3841|MetaCyc: PWY-5497|Reactome: R-HSA-196757
RMG26781.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
RMG26781.1	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
RMG26781.1	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
RMG26781.1	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
RMG26781.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_654130_2	IPR019575	GO:0051539	PF10589	"NADH-ubiquinone oxidoreductase 51kDa subunit, iron-sulphur binding domain"	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_654130_2	IPR019554	-	PF10531	Soluble ligand binding domain	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_654130_2	IPR011538	-	PF01512	"NADH-ubiquinone oxidoreductase 51kDa subunit, FMN-binding domain"	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
custom_186775_13	IPR029419	-	PF14698	"Argininosuccinate lyase, C-terminal"	KEGG: 00220+4.3.2.1|KEGG: 00250+4.3.2.1|MetaCyc: PWY-4983|MetaCyc: PWY-4984|MetaCyc: PWY-5|MetaCyc: PWY-5154|MetaCyc: PWY-7400|Reactome: R-HSA-70635
custom_186775_13	IPR022761	-	PF00206	"Fumarate lyase, N-terminal"	
custom_738031_4	IPR006665	-	PF00691	OmpA-like domain	
custom_738031_4	IPR039567	-	PF13488	Glycine zipper domain	
EXL01492.1	IPR005183	-	PF03713	Domain of unknown function DUF305	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
custom_2671537_342	IPR003029	GO:0003676	PF00575	S1 domain	
ODU10426.1	IPR028081	-	PF13458	Leucine-binding protein domain	
RPH78447.1	IPR020818	GO:0006457	PF00166	GroES chaperonin family	
WP_097423856.1	IPR019479	GO:0051920|GO:0055114	PF10417	"Peroxiredoxin, C-terminal"	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
WP_097423856.1	IPR000866	GO:0016209|GO:0016491|GO:0055114	PF00578	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	KEGG: 00480+1.11.1.15|Reactome: R-HSA-3299685
SDK69953.1	IPR013155	GO:0004812|GO:0006418	PF08264	"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding"	
SDK69953.1	IPR019499	GO:0000166|GO:0004832|GO:0005524|GO:0005737|GO:0006438	PF10458	"Valyl-tRNA synthetase,  tRNA-binding arm"	KEGG: 00970+6.1.1.9
SDK69953.1	IPR002300	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF00133	"Aminoacyl-tRNA synthetase, class Ia"	
WP_076523482.1	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
WP_076523482.1	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
PPR64223.1	IPR002347	-	PF00106	Short-chain dehydrogenase/reductase SDR	
custom_967558_18	IPR001854	GO:0003735|GO:0005840|GO:0006412	PF00831	Ribosomal protein L29/L35	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
WP_066880468.1	IPR013740	GO:0016491	PF08534	Redoxin	Reactome: R-HSA-3299685|Reactome: R-HSA-5628897
custom_2444193_18	IPR001236	GO:0016491|GO:0055114	PF00056	"Lactate/malate dehydrogenase, N-terminal"	
custom_2444193_18	IPR022383	GO:0016616|GO:0055114	PF02866	"Lactate/malate dehydrogenase, C-terminal"	
custom_567793_38	IPR028971	GO:0004352|GO:0019551	PF05088	NAD-glutamate dehydrogenase	KEGG: 00220+1.4.1.2|KEGG: 00250+1.4.1.2|KEGG: 00430+1.4.1.2|KEGG: 00910+1.4.1.2|MetaCyc: PWY-5022|MetaCyc: PWY-6728|MetaCyc: PWY-7126
WP_132249930.1	IPR000581	GO:0003824	PF00920	Dihydroxy-acid/6-phosphogluconate dehydratase	KEGG: 00290+4.2.1.9|KEGG: 00770+4.2.1.9|MetaCyc: PWY-5101|MetaCyc: PWY-5103|MetaCyc: PWY-5104|MetaCyc: PWY-7111
ETK39847.1	-	-	PF00122	-	
ETK39847.1	-	-	PF00702	-	
custom_1560417_1	IPR001734	GO:0016020|GO:0022857|GO:0055085	PF00474	Sodium/solute symporter	
custom_301204_25	IPR005112	-	PF03455	dDENN domain	Reactome: R-HSA-8876198
custom_301204_25	IPR001915	GO:0004222|GO:0006508	PF01435	Peptidase M48	
custom_1276403_15	IPR002059	GO:0003676	PF00313	"Cold-shock protein, DNA-binding"	
custom_2192516_2	IPR013650	-	PF08442	"ATP-grasp fold, succinyl-CoA synthetase-type"	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384|Reactome: R-HSA-71403
custom_2192516_2	IPR005811	GO:0003824	PF00549	ATP-citrate lyase/succinyl-CoA ligase	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
custom_2062429_10	IPR001203	GO:0009055|GO:0016491|GO:0016625|GO:0051536|GO:0055114	PF01314	"Aldehyde ferredoxin oxidoreductase, C-terminal"	
custom_2062429_10	IPR013983	GO:0016491|GO:0016625|GO:0051536|GO:0055114	PF02730	"Aldehyde ferredoxin oxidoreductase, N-terminal"	
WP_058085799.1	IPR007862	GO:0004017	PF05191	"Adenylate kinase, active site lid domain"	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219
WP_058085799.1	-	-	PF00406	-	
PCI13270.1	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
custom_1711583_150	IPR001684	GO:0003735|GO:0005840|GO:0006412	PF01016	Ribosomal protein L27	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_094561999.1	IPR020616	GO:0016747	PF00108	"Thiolase, N-terminal"	
WP_094561999.1	IPR020617	GO:0016747	PF02803	"Thiolase, C-terminal"	
GBG01303.1	IPR002634	-	PF01722	BolA protein	
WP_079437332.1	IPR010870	-	PF07396	Phosphate-selective porin O/P	
custom_1133207_15	IPR005618	GO:0019867	PF03922	"Outer membrane protein, OmpW"	
custom_1288502_28	IPR019223	-	PF09917	Domain of unknown function DUF2147	
WP_011289724.1	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_011289724.1	IPR041265	-	PF18140	"Propionyl-coenzyme A carboxylase, BT domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599|Reactome: R-HSA-71032
WP_011289724.1	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
WP_011289724.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_011289724.1	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_028498121.1	IPR001857	GO:0003735|GO:0005840|GO:0006412	PF01245	Ribosomal protein L19	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_2086007_26	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
custom_2086007_26	IPR004160	-	PF03143	"Translation elongation factor EFTu/EF1A, C-terminal"	
custom_2086007_26	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_093688105.1	IPR001867	GO:0000160|GO:0003677|GO:0006355	PF00486	OmpR/PhoB-type DNA-binding domain	
WP_093688105.1	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
AAM84147.1	IPR003325	-	PF02342	TerD domain	
WP_106825664.1	IPR000640	-	PF00679	"Elongation factor EFG, domain V-like"	
WP_106825664.1	IPR041095	-	PF14492	"Elongation Factor G, domain II"	
WP_106825664.1	IPR000795	GO:0003924|GO:0005525	PF00009	"Transcription factor, GTP-binding domain"	
WP_106825664.1	IPR004161	GO:0005525	PF03144	"Translation elongation factor EFTu-like, domain 2"	
WP_106825664.1	IPR005517	GO:0005525	PF03764	"Translation elongation factor EFG/EF2, domain IV"	
PYK79492.1	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
PYK79492.1	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
PYK79492.1	IPR000793	GO:0015986	PF00306	"ATP synthase, alpha subunit, C-terminal"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980|Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-8949613
WP_040724856.1	IPR001155	GO:0010181|GO:0016491|GO:0055114	PF00724	"NADH:flavin oxidoreductase/NADH oxidase, N-terminal"	
custom_1549076_40	IPR002505	GO:0016746	PF01515	Phosphate acetyl/butaryl transferase	KEGG: 00430+2.3.1.8|KEGG: 00620+2.3.1.8|KEGG: 00640+2.3.1.8|KEGG: 00680+2.3.1.8|KEGG: 00720+2.3.1.8|MetaCyc: PWY-1281|MetaCyc: PWY-5482|MetaCyc: PWY-5485|MetaCyc: PWY-5497|MetaCyc: PWY-6637
custom_1549076_40	IPR012302	GO:0051287	PF03949	"Malic enzyme, NAD-binding"	
custom_1549076_40	IPR012301	GO:0004471|GO:0055114	PF00390	"Malic enzyme, N-terminal domain"	
custom_2353269_65	IPR007420	-	PF04325	Protein of unknown function DUF465	
custom_159291_4	IPR002059	GO:0003676	PF00313	"Cold-shock protein, DNA-binding"	
WP_005670933.1	-	-	PF00702	-	
WP_005670933.1	-	-	PF00122	-	
WP_005670933.1	IPR006121	GO:0030001|GO:0046872	PF00403	"Heavy metal-associated domain, HMA"	
WP_119046367.1	-	-	PF13343	-	
custom_799152_3	IPR001036	GO:0016020|GO:0022857|GO:0055085	PF00873	Acriflavin resistance protein	
WP_126768911.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
WP_126768911.1	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
WP_126768911.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_843809_17	IPR001036	GO:0016020|GO:0022857|GO:0055085	PF00873	Acriflavin resistance protein	
WP_119336123.1	IPR005139	GO:0006415	PF03462	Peptide chain release factor	
WP_119336123.1	IPR000352	GO:0003747|GO:0006415	PF00472	Peptide chain release factor class I	
RTL31767.1	IPR020980	-	PF12221	"Menbrane protein HflK, N-terminal"	
RTL31767.1	IPR001107	-	PF01145	Band 7 domain	
custom_2170974_12	IPR034300	-	PF02233	NADP transhydrogenase beta-like domain	Reactome: R-HSA-71403
RTL24788.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_1855743_25	IPR002222	GO:0003735|GO:0005840|GO:0006412	PF00203	Ribosomal protein S19/S15	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_1231354_7	IPR001544	GO:0003824	PF01063	Aminotransferase class IV	Reactome: R-HSA-70895
custom_1961047_2	IPR000131	GO:0015986|GO:0045261|GO:0046933	PF00231	"ATP synthase, F1 complex, gamma subunit"	Reactome: R-HSA-163210|Reactome: R-HSA-8949613
WP_121459197.1	IPR003468	-	PF02433	"Cytochrome c oxidase, monohaem subunit/FixO"	
WP_132527257.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
WP_066336621.1	IPR002372	-	PF13360	Pyrrolo-quinoline quinone repeat	
WP_066336621.1	IPR002372	-	PF01011	Pyrrolo-quinoline quinone repeat	
WP_121429542.1	IPR015933	GO:0003994|GO:0006099	PF11791	"Aconitase B, HEAT-like domain"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
WP_121429542.1	IPR015929	GO:0003994|GO:0006099	PF06434	"Aconitase B, swivel"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
WP_121429542.1	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
BAH03064.1	-	-	PF02239	-	
custom_1122776_23	IPR013563	GO:0000166|GO:0005524|GO:0015833	PF08352	"Oligopeptide/dipeptide ABC transporter, C-terminal"	
custom_1122776_23	IPR013563	GO:0000166|GO:0005524|GO:0015833	PF08352	"Oligopeptide/dipeptide ABC transporter, C-terminal"	
custom_1122776_23	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_1122776_23	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_91895_7	IPR006665	-	PF00691	OmpA-like domain	
custom_91895_7	IPR003367	GO:0005509|GO:0007155	PF02412	"Thrombospondin, type 3-like repeat"	Reactome: R-HSA-186797
custom_91895_7	IPR003367	GO:0005509|GO:0007155	PF02412	"Thrombospondin, type 3-like repeat"	Reactome: R-HSA-186797
custom_91895_7	IPR003367	GO:0005509|GO:0007155	PF02412	"Thrombospondin, type 3-like repeat"	Reactome: R-HSA-186797
custom_1201447_2	IPR028081	-	PF13458	Leucine-binding protein domain	
WP_119783708.1	IPR011640	GO:0006826|GO:0015093|GO:0016021	PF07664	"Ferrous iron transport protein B, C-terminal"	
WP_119783708.1	IPR011642	-	PF07670	"Nucleoside transporter/FeoB GTPase, Gate domain"	Reactome: R-HSA-83936
WP_119783708.1	IPR011642	-	PF07670	"Nucleoside transporter/FeoB GTPase, Gate domain"	Reactome: R-HSA-83936
WP_119783708.1	IPR030389	GO:0005525	PF02421	FeoB-type guanine nucleotide-binding (G) domain	
custom_2508939_6	IPR004839	GO:0009058|GO:0030170	PF00155	"Aminotransferase, class I/classII"	
WP_128200561.1	IPR035089	-	PF04984	"Tail sheath protein, subtilisin-like domain"	
WP_128200561.1	IPR020287	-	PF17482	"Tail sheath protein, C-terminal domain"	
OFZ89174.1	IPR001576	GO:0004618|GO:0006096	PF00162	Phosphoglycerate kinase	KEGG: 00010+2.7.2.3|KEGG: 00710+2.7.2.3|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-8004|Reactome: R-HSA-70171|Reactome: R-HSA-70263
custom_1260131_26	IPR011707	GO:0005507	PF07732	"Multicopper oxidase, type 3"	
custom_1260131_26	IPR011706	GO:0005507|GO:0016491|GO:0055114	PF07731	"Multicopper oxidase, type 2"	
custom_1435653_142	IPR011260	GO:0003677|GO:0003899|GO:0006351	PF03118	"RNA polymerase, alpha subunit, C-terminal"	
custom_1435653_142	IPR011262	GO:0003899|GO:0006351|GO:0046983	PF01000	"DNA-directed RNA polymerase, insert domain"	
custom_1435653_142	IPR011263	GO:0003899|GO:0006351	PF01193	"DNA-directed RNA polymerase, RpoA/D/Rpb3-type"	
KFB68527.1	IPR008707	-	PF05567	PilC beta-propeller domain	
custom_1608369_6	IPR001789	GO:0000160	PF00072	"Signal transduction response regulator, receiver domain"	
