protein	eggNOG	eggNOG_name	eggNOG_annotation
WP_006576738.1	"1KBPG060,1PU1Q,2VPCC,COG1024,COG1024"	echA8_3	Enoyl-CoA hydratase/isomerase
WP_006730011.1	"1TPKC,3F3ZP,4HAEH061,COG0050,COG0050"	tuf	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis
WP_007414873.1	"1G0XE,1JJIN,COG1020,COG1020"	pvdI	AMP-binding enzyme
WP_007587442.1	"1K791060,1RHCW,2VR2M,COG0316,COG0316"	erpA	Required for insertion of 4Fe-4S clusters
custom_298954_6	"1MZ5B,2KXFI06389,2VU4V,COG0776,COG0776"	hupB	"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions"
custom_1186607_9	"1MU0N,2KV5706389,2VKD8,COG2204,COG2204"	ntrX	"COG2204 Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains"
custom_2376547_2	"1R9WI,2CI52,2VQZX,2ZC5H"	-	-
WP_008467031.1	"1ID5S,28N4A,2NXF4,2ZB9T,4PJ7Q"	-	Domain of unknown function (DUF4136)
WP_008484959.1	"1J56W,1MXNV,1RQVZ,COG2902,COG2902"	gdhB	COG2902 NAD-specific glutamate dehydrogenase
WP_008721917.1	"COG1848,COG1848"	-	Toxic component of a toxin-antitoxin (TA) module. An RNase
WP_009205715.1	"1R7HC,2VHDQ,COG1639,COG1639,COG2199,COG3706"	-	RESPONSE REGULATOR receiver
custom_1381339_8	"1MUM7,2VQPR,4ADZQ0864,COG2964,COG2964"	-	YheO-like PAS domain
WP_009520351.1	"1MZVI,2KV8306389,2VH6J,COG0644,COG0644"	-	Tryptophan halogenase
WP_009521348.1	"1K9XX060,1RHTE,2ANPA,2VRS4,31DNS"	PP2730	Protein of unknown function (DUF3833)
WP_009522485.1	"1JZQU060,1MU5G,2VH4C,COG0183,COG0183"	bktB	Belongs to the thiolase family
WP_009549281.1	"1KITZ065,1R4EF,2VK6Z,COG0760,COG0760"	-	PPIC-type PPIASE domain
custom_1343518_1	"2IYIB03682,COG3119,COG3119"	-	Sulfatase
WP_010853034.1	"47M8W03,4NDW8,COG0040,COG0040"	hisG	ATP phosphoribosyltransferase
WP_010943088.1	"1MVBF,2WJSE,42NY6,43S8Q,COG0567,COG0567"	sucA	"TIGRFAM 2-oxoglutarate dehydrogenase, E1 subunit"
custom_1908050_16	"1N1RF,2KWPP06389,2VT18,COG0071,COG0071"	-	Belongs to the small heat shock protein (HSP20) family
WP_011286880.1	"1NMPB,2KW9P06389,2VJ4U,COG0811,COG0811"	exbB	MotA TolQ ExbB proton channel
custom_1294555_7	"1RHZX,2KWCY06389,2VSD5,COG1076,COG1076"	hscB	Co-chaperone involved in the maturation of iron-sulfur cluster-containing proteins. Seems to help targeting proteins to be folded toward HscA
WP_011288670.1	"1R4ZJ,2KW8H06389,2VHJQ,COG2885,COG2885"	-	OmpA family
WP_011288977.1	"1R59A,2M03B06389,2VRE6,COG1309,COG1309"	-	"Bacterial regulatory proteins, tetR family"
WP_011289329.1	"1NQ8G,2W0F6,COG0419,COG0419"	-	ATPase involved in DNA repair
custom_945906_3	"1QTHZ,2C4IG,2KVXJ06389,2VN98,2Z8A1"	-	Outer membrane lipoprotein-sorting protein
WP_011485651.1	"1MWDG,2VJJ5,4AD8G0864,COG4772,COG4772"	FecA	Tonb-dependent siderophore receptor
WP_011764369.1	"1N6YN,2KX9P06389,2VVSV,COG3027,COG3027"	zapA	"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division"
WP_011927391.1	"1MZW0,2UC4T,3JYPF,COG5490,COG5490"	MA20_36110	Phasin protein
WP_012113839.1	"1MUFQ,2TR4P,3EYF2,COG0192,COG0192"	metK	"S-adenosylmethionine synthetase, C-terminal domain"
WP_012186024.1	"2XPXJ,COG0464,arCOG01308"	-	"Cell division protein 48 (CDC48), domain 2"
custom_982476_23	"1REPP,2VTSI,4AHRJ0864,COG5126,COG5126"	-	EF hand
custom_2310840_3	"1MU48,2VHFI,4AAP60864,COG0841,COG0841"	acrB	"Transporter, hydrophobe amphiphile efflux-1 (HAE1) family"
custom_2256847_68	"1R7U0,2VMVQ,4ABWG0864,COG3181,COG3181"	-	PFAM conserved
custom_2082819_2	"1MUGU,2VHAW,4ABEZ0864,COG2084,COG2084"	mmsB	"6-phosphogluconate dehydrogenase, NAD-binding"
custom_2332723_4	"1MUMT,2VKSW,4AADE0864,COG0810,COG0810"	tonB3	TIGRFAM TonB family protein
custom_830780_6	"1MVJF,2VRCD,4ABNP0864,COG3150,COG3150"	yqiA	Uncharacterised protein family (UPF0227)
custom_1198340_21	"1MUK0,2VHDV,4AA6Z0864,COG1960,COG1960"	gcdH	PFAM acyl-CoA dehydrogenase domain protein
custom_1975239_33	"1MV60,2VHFR,4AAGK0864,COG1271,COG1271"	cydA	PFAM cytochrome bd ubiquinol oxidase subunit I
custom_1350246_72	"1NE4N,2BYFC,2VWGQ,32ZXN,4AFHM0864"	-	-
custom_1780251_36	"1N0XM,2VTRD,4AENN0864,COG0393,COG0393"	ybjQ	Belongs to the UPF0145 family
custom_769325_65	"1RHC1,2VSZQ,4AEKY0864,COG5507,COG5507"	ybaA	Protein of unknown function (DUF1428)
custom_371442_6	"1MWQ6,2VKNN,4AH730864,COG2175,COG2175"	-	PFAM Taurine catabolism dioxygenase TauD TfdA
custom_1337747_25	"1N117,2VSHE,4ADK60864,COG2976,COG2976"	yfgM	Tetratricopeptide repeat-like domain
custom_57687_50	"1MW69,2VIIG,4AAE50864,COG4582,COG4582"	zapD	"Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity"
WP_012334624.1	"1JS53045,1MVPI,2TR48,COG1674,COG1674"	ftsK	Belongs to the FtsK SpoIIIE SftA family
WP_012483223.1	"1MVU6,2TS0R,4B86M,COG0644,COG0644,COG2440,COG2440"	etf	electron transfer flavoprotein-ubiquinone oxidoreductase
WP_012565938.1	"1RH0W,2JSMQ04441,2U96X,COG0091,COG0091"	rplV	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome"
custom_677154_1	"1PCPQ,2KUNJ06389,2VMAB,COG1538,COG1538"	cebC	PFAM Outer membrane efflux protein
custom_2252679_12	"1MUCD,2VKC0,4ACS50864,COG1073,COG1073"	-	Hydrolases of the alpha beta superfamily
WP_013632720.1	"1IZIR,2Z924,4NEE9,arCOG14100"	-	SIR2-like domain
WP_013764167.1	"1ITMI,4NT1J,COG0724,COG0724"	rbpA	"PFAM RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"""
custom_1726089_67	"1R994,28JJP,2VJ6F,2Z9CN"	-	Evidence 4 Homologs of previously reported genes of
WP_014427773.1	"1KJ48065,1MU2R,2VHD0,COG1005,COG1005"	nuoH	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone"
WP_015014101.1	"1QTTJ,2VHB9,4AAS90864,COG1529,COG1529"	iorB1	PFAM aldehyde oxidase and xanthine dehydrogenase molybdopterin binding
WP_015015924.1	"1NTXA,2W0JW,4AH0Z0864,COG3203,COG3203"	-	Gram-negative porin
WP_015181186.1	"1GHCI,1HHXQ0,COG2199,COG2202,COG2202,COG3706,COG3829,COG3829,COG3850,COG3850,COG5002,COG5002"	-	His Kinase A (phosphoacceptor) domain
WP_015248438.1	"2DS6Z,2J09W03682,32USG"	-	Protein of unknown function (DUF3467)
custom_187728_4	"1MV6J,2KU8D06389,2VJ3Y,COG1139,COG1139"	lutB	Domain of unknown function (DUF3390)
custom_88188_2	"COG0394,COG0394,COG0704,COG0704"	phoU	negative regulation of phosphate transmembrane transport
custom_2059775_41	"1KQ20066,1MZQD,2VUC6,COG0198,COG0198"	rplX	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit
custom_1850424_9	"1N6CD,2B7M6,2VV8X,33JXJ,4AFFJ0864"	-	Protein of unknown function (DUF2501)
custom_431155_46	"1NXYQ,2VM6B,4ACUB0864,COG3016,COG3016"	phuW	"Haem-binding uptake, Tiki superfamily, ChaN"
WP_017756087.1	"1UHPE,1WFH0,4H9US061,COG0538,COG0538"	icd	isocitrate
WP_017871813.1	"1WJJM,COG1523,COG1523"	glgX	Belongs to the glycosyl hydrolase 13 family
WP_018162273.1	"2GJ7T01174,4FV9T025,COG0563,COG0563"	adk	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
WP_018270500.1	"1MUUM,2U1GB,3JQTT,COG5490,COG5490"	MA20_16665	Phasin protein
WP_018361054.1	"22VY0,2FMUK00643,4NE2D,COG1132,COG1132"	msbA	"ABC transporter, ATP-binding protein"
WP_018390533.1	"1MX5H,2TRMF,3EXUN,COG3487,COG3487"	irpA	Imelysin
WP_018990350.1	"1MUIQ,2KVCP06389,2VKH5,COG1075,COG1075,COG4995,COG4995"	-	CHAT domain
WP_019341082.1	"1MUF9,1RNM1,1Z1M9,COG0260,COG0260"	pepA	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
WP_019426469.1	"1MVQ7,2VHQZ,4A9YX0864,COG3396,COG3396"	paaA	PFAM phenylacetic acid catabolic family protein
WP_019643591.1	"1MU5M,2JQ4104441,2U0QC,COG1053,COG1053"	frdA	Fumarate reductase flavoprotein C-term
WP_019895799.1	"1MWAB,1RPSV,460SK,COG0540,COG0540"	pyrB	Belongs to the ATCase OTCase family
custom_194358_151	"1N2U0,2C5U9,2KWHS06389,2VSBN,30FF7"	-	Bacterial protein of unknown function (Gcw_chp)
custom_1900749_2	"1PU2S,2UF55,3N77S01,COG1841,COG1841"	rpmD	Ribosomal protein L30p/L7e
custom_1037723_59	"1RCWT,2U5BZ,COG0629,COG0629"	ssb	"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism"
WP_020526946.1	"4NQ9B,COG0716,COG0716"	-	Low-potential electron donor to a number of redox enzymes
WP_020647945.1	"1MVCC,1RQBE,COG0309,COG0309"	hypE	hydrogenase expression formation protein HypE
WP_020654466.1	"1PW7S,2WBSN,476DK,COG3203,COG3203"	-	Gram-negative porin
CDD97793.1	"2FQ2B00643,4ANTS,4NEF6,COG1718,COG1718"	-	aminotransferase class I and II
WP_021132079.1	"1MUMC,2JP9904441,2TR96,COG0318,COG0318"	-	AMP-binding enzyme C-terminal domain
WP_021248893.1	"1MUT0,2KUZF06389,2VHNH,COG1448,COG1448"	tyrB	Aminotransferase
WP_022442982.1	"1KM02065,1RCWZ,2VR2N,COG0093,COG0093"	rplN	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
WP_022954472.1	"1MVQI,1RN74,463NJ,COG0443,COG0443"	hscA	Chaperone involved in the maturation of iron-sulfur cluster-containing proteins. Has a low intrinsic ATPase activity which is markedly stimulated by HscB
custom_649132_4	"1QVR1,2P57B,2TXH2,COG4221,COG4221"	-	KR domain
custom_1530864_12	"1P1HT,2TUNS,COG0747,COG0747"	nikA	"Bacterial extracellular solute-binding proteins, family 5 Middle"
AHF26009.1	"1TP3H,248VS01,3WGM9000,COG0126,COG0126,COG0149,COG0149"	pgk	Phosphoglycerate kinase
ETW99713.1	"3J0P20117,COG0123,COG0123"	acuC	Histone deacetylase domain
custom_2520462_10	"1KR98066,1N7TJ,2WEAK,COG0745,COG0745"	-	"Transcriptional regulatory protein, C terminal"
EXI67162.1	"1KQRC066,1MU9B,2VGZ8,COG0840,COG0840"	cheD2	chemotaxis sensory transducer
custom_2283368_9	"1KQH7066,1MVFS,2VHD9,COG0342,COG0342"	secD	Glutamate-cysteine ligase
custom_1337697_3	"1MV70,2VI1Z,4AC770864,COG1858,COG1858"	ccp	PFAM Di-haem cytochrome c peroxidase
EXI75288.1	"2A2RI,30R4P"	-	-
custom_368218_33	"1KQ33066,1MZGH,2VU4W,COG0211,COG0211"	rpmA	Belongs to the bacterial ribosomal protein bL27 family
custom_630910_12	"1NZNI,2VNRT,COG1622,COG1622"	-	cytochrome c oxidase (Subunit II)
custom_1160968_14	"1MZF3,2VTZZ,COG3162,COG3162"	-	membrane
custom_1631577_19	"1MVTC,2VIP2,COG0448,COG0448"	glgC	"Catalyzes the synthesis of ADP-glucose, a sugar donor used in elongation reactions on alpha-glucans"
custom_1607093_32	"1MVX7,2VJI5,COG0628,COG0628"	MA20_41055	AI-2E family transporter
custom_637005_27	"1KQ00066,1MUDY,2VJ8M,COG2945,COG2945"	-	General function prediction only
custom_1176115_29	"1KPZA066,1RA2F,2VQC0,COG0221,COG0221"	ppa	Catalyzes the hydrolysis of inorganic pyrophosphate (PPi) forming two phosphate ions
custom_619230_8	"1MU48,2VHFI,COG0841,COG0841"	-	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
custom_2331714_24	"1KR0U066,1MZ3K,2VQAE,COG0589,COG0589"	-	Universal stress protein family
custom_594501_36	"1KQE8066,1MVVC,2VHYN,COG0410,COG0410"	livF	ABC transporter
custom_2566381_8	"1QEIM,COG0639,COG0639"	-	COG0639 Diadenosine tetraphosphatase and related serine threonine protein phosphatases
custom_619230_4	"1NKZR,2CG45,33GFC"	-	-
custom_1810832_2	"1N35V,2C80Q,2VVGE,30ICB"	-	-
custom_1252046_10	"1KQ84066,1MV93,2VITK,COG0506,COG0506,COG4230,COG4230"	putA	Oxidizes proline to glutamate for use as a carbon and nitrogen source
custom_1535094_23	"1KPYI066,1RDH0,2VQNU,COG1825,COG1825"	ctc	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance
custom_1535094_14	"COG0693,COG0693"	-	protein deglycation
custom_594501_41	"1KR2U066,1N6UN,2VW1Y,COG4654,COG4654"	-	Cytochrome c
GAJ32714.1	"1MV5D,2TTXX,3JRKX,COG0834,COG0834"	MA20_06180	Bacterial periplasmic substrate-binding proteins
CDO61302.1	"1MUB1,2TSPE,4BP5E,COG1494,COG1494"	glpX	"Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
XP_007830264.1	"219C30,3A1K0,3P2TD,3QU610,COG5262,KOG1756"	HTA1	Histone H2A
WP_024585415.1	"1MUC4,2TS7S,43HI0,COG0085,COG0085"	rpoB	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
WP_025061678.1	"1MW61,2TQQQ,3ZUU10136,COG0282,COG0282"	ackA	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
WP_025144501.1	"1ITXR,2BVK8,32Y0S,4NUUA"	-	histone H1-like protein
custom_1793051_5	"1N0RX,2D1SQ,2KN2A06350,2W475,32TB9"	mxaI	Catalyzes the oxidation of primary alcohols including methanol
WP_026686252.1	"1MV2F,2KUWE06389,2VICG,COG0751,COG0751"	glyS	Glycyl-tRNA synthetase beta subunit
WP_026686701.1	"1MV7B,2KVPX06389,2VH5Z,COG0525,COG0525"	valS	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner"
custom_2069181_5	"1MUR9,2KUQQ06389,2VGZK,COG0152,COG0152"	purC	Belongs to the SAICAR synthetase family
custom_1233797_20	"1MWDH,2KV2006389,2VI0C,COG0253,COG0253"	dapF	"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan"
WP_026768891.1	"4PNPI,COG0614,COG0614"	-	"abc-type fe3 -hydroxamate transport system, periplasmic component"
WP_026940243.1	"2GJ8H01174,4FMGT023,COG3119,COG3119"	-	Sulfatase
WP_027082039.1	"1RBGW,1S3XQ,1X4H8,COG3167,COG3167"	pilO	"Pilus assembly protein, PilO"
custom_1895780_278	"4NURE,COG1278,COG1278"	cspB	cold-shock protein
custom_2232316_2	"1MWZC,2KVMT06389,2VJVA,COG1024,COG1024"	badK	Belongs to the enoyl-CoA hydratase isomerase family
custom_742478_8	"1MZEF,2KWQI06389,2VRRV,COG0799,COG0799"	rsfS	"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation"
custom_570330_19	"1MUBV,2KUKQ06389,2VIZJ,COG1652,COG1652"	lysM	protein containing LysM domain
custom_2363388_6	"1N07Q,2KX2006389,2VU6N,COG0835,COG0835"	pilI	Chemotaxis signal transduction protein
custom_1608369_6	"1MUB8,2KUMQ06389,2VH1F,COG3437,COG3437"	-	response regulator
custom_102492_1	"1RDP2,2KWCE06389,2VSRT,COG0779,COG0779"	rimP	Required for maturation of 30S ribosomal subunits
custom_17093_4	"1RH79,2VTN3,4AFC00864,COG0346,COG0346"	-	Glyoxalase-like domain
WP_027582850.1	"1MVK5,2TRN9,3JTUJ,COG2133,COG2133"	MA20_25025	Glucose / Sorbosone dehydrogenase
WP_027680035.1	"1K09S060,1MVAG,2VKKZ,COG1305,COG1305,COG4196,COG4196"	MA20_16195	transglutaminase domain protein
WP_027752048.1	"2GIS601174,COG0277,COG0277"	agpS	FAD linked
WP_028162753.1	"1MU0D,2TR7W,3JT8X,COG4775,COG4775"	bamA	"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
custom_588062_19	"1RKSC,2BECK,2VS57,3283Q"	-	TIGRFAM conserved
WP_028664379.1	"4PKW2,COG3193,COG3193"	-	SusD family
WP_028757426.1	"1QTS2,2TVZC,4B8SR,COG4598,COG4598"	occP	"ABC-type histidine transport system, ATPase component"
WP_028980758.1	"47JWG03,4NE30,COG0112,COG0112"	glyA	"Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism"
WP_028993734.1	"1MVJ8,2KUFG06389,2VHP4,COG4147,COG4147"	actP	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
WP_028993812.1	"1PJYG,2A8Z1,2KVGT06389,2VJ83,30Y2U"	-	-
WP_028994152.1	"1N4FG,2KWSR06389,2VTGB,COG1585,COG1585"	-	"NfeD-like C-terminal, partner-binding"
custom_1196987_3	"1N6ZE,2KX8506389,2VVPT,COG1841,COG1841"	rpmD	Ribosomal protein L30
custom_146400_3	"1MWBB,2VJ8P,4AC240864,COG2414,COG2414"	aorA	PFAM aldehyde ferredoxin oxidoreductase
WP_030220108.1	"2GKWC01174,COG1526,COG1526"	fdhD	Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH
WP_031393368.1	"1MU0N,2K1KM04457,2TQW2,COG2204,COG2204"	ntrX	"Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains"
custom_2596236_5	"1KQVA066,1MWPA,2VM3A,COG0790,COG0790,COG4249,COG4249"	MA20_30665	Sel1-like repeats.
custom_607861_3	"1RJUA,2VTPT,COG5490,COG5490"	phaP	Phasin protein
custom_895874_2	"1KQ38066,1N6RF,2VVP5,COG0333,COG0333"	rpmF	Belongs to the bacterial ribosomal protein bL32 family
custom_2334816_17	"1KQN3066,1RAA2,2VK46,COG0723,COG0723"	petA	"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis"
custom_636017_8	"1Q3J3,2VKBN,COG0840,COG0840"	-	chemotaxis
custom_2062739_3	"1KQB5066,1MU21,2VHN5,COG0469,COG0469"	pykA	"Pyruvate kinase, barrel domain"
custom_2001720_5	"1MUA8,2MG5X,2WK44,42NKZ,COG1538,COG1538"	oprM	"RND efflux system, outer membrane"
custom_2591797_43	"1KQK0066,1MUCK,2VJAP,COG1845,COG1845"	ctaE	Cytochrome c oxidase subunit III
custom_753651_4	"1MUDS,2VJ1J,COG0053,COG0053"	fieF	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
custom_132173_8	"1MW98,2KUDI06389,2VI9R,COG0045,COG0045,COG1042,COG1042,COG1247,COG1247"	yfiQ	Acyl-CoA synthetase (NDP forming)
custom_2527274_7	"1KQW3066,1RCX7,2VRU5,COG0494,COG0494"	nudF	NUDIX domain
custom_2513729_9	"1RKPQ,2W21I,COG4564,COG4564"	-	Cache_2
custom_745369_30	"1KQ7T066,1MUFP,2VHR9,COG0166,COG0166"	pgi	Phosphoglucose isomerase
custom_1437634_8	"1KPVS066,1MUH4,2VH2M,COG0473,COG0473"	MA20_17220	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
custom_2055986_2	"1N9CE,2VWPP,47556,COG4726,COG4726"	-	Pilus assembly protein PilX
custom_2292621_15	"1MZBZ,2KWMI06389,2VMBB,COG3245,COG3245"	cycA	cytochrome c5
custom_2377251_3	"1KPZ3066,1MW6F,2VH9U,COG0461,COG0461"	pyrE	"Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)"""
custom_2063637_4	"1MUIQ,2KVCP06389,2VKH5,COG1075,COG1075,COG2110,COG2110,COG4995,COG4995"	CP_0667	CHAT domain
